"No.","Ticker","Performance (Week)","Performance (Month)","Performance (Quarter)","Performance (Half Year)","Performance (Year)","Performance (YTD)","Volatility (Week)","Volatility (Month)","Analyst Recom","Average Volume","Relative Volume","Price","Change","Volume"
184,"CEI",-0.20%,27.23%,83.73%,-36.44%,-47.16%,-52.41%,6.34%,11.69%,,9300.67,0.18,0.87,-4.82%,1630843
185,"ADMP",-5.42%,27.66%,-27.32%,-12.44%,-0.38%,-25.73%,5.87%,7.80%,3.00,4789.85,0.29,0.49,-4.90%,1388263
186,"WTT",-17.35%,23.55%,28.37%,69.16%,33.09%,26.57%,10.31%,8.09%,2.00,56.03,1.15,1.72,-4.97%,64456
187,"TGA",-6.86%,126.19%,127.65%,72.73%,-26.92%,-31.16%,10.62%,14.04%,2.50,779.14,0.66,0.90,-5.01%,510357
188,"MRKR",-2.45%,5.30%,-7.02%,-22.82%,-48.54%,-44.79%,11.69%,7.91%,1.50,265.55,1.45,1.51,-5.03%,385315
189,"SYPR",-0.72%,0.00%,30.19%,68.35%,71.43%,76.90%,4.84%,7.72%,3.00,859.90,0.14,1.31,-5.07%,124653
190,"ALNA",6.20%,-5.52%,0.00%,-19.41%,-37.44%,-49.82%,5.73%,7.05%,1.70,1321.13,1.05,1.30,-5.11%,1385898
191,"MRAM",-10.69%,-18.61%,-15.83%,-29.09%,-17.75%,-11.03%,7.17%,5.58%,1.50,190.69,1.45,4.44,-5.13%,276641
192,"ISR",13.37%,28.51%,-24.12%,-24.39%,-23.03%,-23.13%,10.11%,7.97%,2.30,1067.19,1.16,0.46,-5.15%,1241758
193,"SYNC",12.32%,6.90%,15.67%,32.48%,-0.64%,1.97%,6.77%,5.62%,2.30,91.72,0.99,1.47,-5.16%,90741
194,"NAOV",-16.53%,54.38%,43.96%,-64.89%,-70.81%,-69.69%,8.55%,15.99%,2.00,7584.45,0.09,0.82,-5.32%,717478
195,"SND",-7.76%,32.89%,47.45%,68.33%,-19.84%,-19.84%,7.89%,8.73%,3.00,337.75,0.61,1.91,-5.45%,204703
196,"TENX",2.80%,2.80%,-30.38%,1.85%,-8.33%,-21.99%,6.16%,9.31%,,201.55,0.41,1.04,-5.45%,82315
197,"IO",-3.77%,52.69%,55.49%,-2.67%,-71.41%,-70.62%,9.42%,9.48%,3.00,435.24,0.59,2.41,-5.49%,257485
198,"EVOK",5.88%,-10.26%,-37.80%,30.21%,94.90%,88.89%,9.29%,7.15%,2.00,236.54,1.20,2.89,-5.56%,284040
199,"LXU",1.71%,42.58%,48.26%,166.07%,-35.36%,-29.05%,8.74%,8.92%,,197.36,0.76,2.81,-5.70%,150511
200,"HOFV",-0.72%,17.09%,-61.84%,-84.19%,-81.29%,-81.61%,3.40%,7.10%,,3455.37,0.51,1.29,-5.84%,1772389
201,"REED",-1.48%,-15.88%,-37.42%,-36.17%,-38.03%,-29.86%,4.95%,7.95%,2.00,611.38,1.14,0.60,-5.92%,697709
202,"EPM",-5.72%,0.00%,12.00%,2.56%,-52.22%,-48.81%,6.44%,7.17%,2.30,121.49,2.25,2.63,-6.07%,273377
203,"IMH",-9.51%,87.76%,130.00%,39.39%,-43.79%,-47.53%,13.09%,10.94%,,149.13,1.36,2.58,-6.52%,202527
204,"GASS",-10.89%,-12.30%,-16.92%,-16.60%,-37.57%,-35.57%,5.81%,5.18%,1.00,80.88,6.25,2.06,-6.79%,505788
205,"GRNQ",5.27%,-12.35%,33.96%,-5.33%,211.40%,149.12%,14.02%,10.00%,3.00,2762.07,0.08,1.32,-7.04%,218856
206,"BIOC",-9.56%,17.78%,18.04%,-38.98%,122.69%,85.31%,7.15%,7.24%,2.00,640.13,1.14,4.92,-7.17%,732435
207,"HSDT",-1.19%,4.06%,-0.62%,-8.25%,-1.19%,-57.22%,6.86%,7.52%,,156.21,2.63,0.38,-7.54%,410066
208,"CWBR",22.22%,48.08%,45.28%,-37.14%,-5.52%,-3.75%,7.73%,7.55%,2.00,486.47,2.67,1.41,-8.44%,1296841
209,"NVCN",34.36%,27.71%,-54.79%,-58.90%,-69.58%,-81.61%,11.39%,8.27%,1.00,1358.19,1.26,0.89,-10.12%,1704541
210,"ALJJ",5.31%,0.00%,39.02%,77.93%,-4.80%,3.48%,7.01%,8.41%,,209.36,5.71,1.06,-10.92%,1194565
211,"AEMD",37.87%,57.43%,62.94%,-12.08%,-3.72%,141.95%,14.86%,9.75%,2.00,2071.85,0.46,2.07,-11.16%,954980
212,"IMBI",-12.38%,-24.56%,-27.15%,50.16%,12.80%,17.04%,7.13%,7.42%,2.00,58.60,3.45,4.10,-12.21%,202345
213,"DXYN",-7.66%,36.93%,186.90%,159.14%,87.55%,111.40%,7.75%,11.11%,,212.90,0.93,2.12,-12.24%,198117
214,"ZCMD",20.29%,16.94%,19.60%,-3.44%,,-47.37%,9.43%,6.05%,,301.16,3.37,1.81,-14.01%,1015177
