No.,Ticker,Company,Sector,Industry,Country,Market Cap,P/E,Fwd P/E,PEG,P/S,P/B,P/C,P/FCF,Dividend,Payout Ratio,EPS,EPS this Y,EPS next Y,EPS past 5Y,EPS next 5Y,Sales past 5Y,EPS Q/Q,Sales Q/Q,Outstanding,Float,Insider Own,Insider Trans,Inst Own,Inst Trans,Float Short,Short Ratio,ROA,ROE,ROI,Curr R,Quick R,LTDebt/Eq,Debt/Eq,Gross M,Oper M,Profit M,Perf Week,Perf Month,Perf Quart,Perf Half,Perf Year,Perf YTD,Beta,ATR,Volatility W,Volatility M,SMA20,SMA50,SMA200,50D High,50D Low,52W High,52W Low,RSI,from Open,Gap,Recom,Avg Volume,Rel Volume,Price,Change,Volume,Earnings,Target Price,IPO Date,AH Close,AH Change
60,DTEA,DAVIDsTEA Inc.,Consumer Defensive,Packaged Foods,Canada,70.75M,-,-,-,0.58,-,4.11,20.81,-,-,-1.04,8.50%,-,-38.10%,-,6.70%,230.10%,-33.70%,26.22M,14.20M,45.87%,0.00%,1.70%,-58.77%,0.91%,0.28,-34.80%,569.60%,-22.20%,0.90,0.50,-,-,47.00%,-20.60%,-22.20%,41.00%,91.84%,184.85%,180.60%,88.00%,93.15%,3.36,0.28,21.33%,15.17%,45.12%,92.57%,182.82%,-11.08%,184.09%,-11.08%,817.46%,73.58,-0.69%,3.19%,-,454.19K,0.75,2.89,2.48%,"336,709",Dec 15/a,-,6/5/2015,-,-
61,DWSN,Dawson Geophysical Company,Energy,Oil & Gas Equipment & Services,USA,52.14M,-,-,-,0.47,0.51,1.13,1.79,-,-,-0.48,38.40%,-,11.90%,41.80%,4.20%,-491.00%,-76.50%,23.42M,21.74M,1.00%,-6.35%,50.00%,-2.60%,0.24%,0.70,-9.10%,-10.90%,-14.90%,9.90,9.90,0.00,0.00,-,-10.60%,-10.10%,0.00%,20.34%,24.56%,47.92%,-11.62%,-11.25%,2.01,0.12,6.30%,6.53%,3.45%,8.56%,32.86%,-8.09%,28.06%,-26.28%,157.05%,58.75,0.93%,0.47%,-,74.57K,0.36,2.16,1.41%,"26,841",Oct 29/b,-,4/5/1994,-,-
62,DXYN,"The Dixie Group, Inc.",Consumer Cyclical,Textile Manufacturing,USA,41.06M,2.18,-,-,0.13,0.55,-,2.42,-,0.00%,1.05,172.00%,-,83.80%,-,-1.60%,136.20%,-10.00%,15.33M,13.19M,11.66%,0.00%,33.80%,-6.44%,0.30%,0.18,7.00%,25.00%,13.60%,2.20,0.70,1.07,1.17,24.00%,7.00%,5.30%,-9.52%,19.37%,183.79%,165.12%,107.27%,100.00%,2.87,0.25,10.95%,11.19%,7.68%,52.24%,145.41%,-10.10%,220.12%,-10.10%,395.66%,61.81,11.70%,3.07%,-,217.32K,0.77,2.63,15.13%,"165,889",Nov 05/b,-,11/25/1986,-,-
63,DYNT,Dynatronics Corporation,Healthcare,Medical Devices,USA,12.15M,-,-,-,0.25,1.05,5.52,6.07,-,-,-0.41,-102.10%,85.70%,24.60%,-,12.90%,-411.60%,-26.20%,14.08M,10.70M,18.80%,0.00%,7.90%,5.52%,0.74%,0.37,-12.20%,-43.80%,-16.00%,2.00,1.20,0.52,0.59,28.20%,-7.40%,-9.80%,-3.60%,26.95%,15.69%,-15.65%,1.08%,-2.45%,-0.04,0.05,4.57%,7.49%,6.28%,20.80%,5.92%,-5.45%,59.51%,-77.45%,59.51%,64.89,4.30%,-1.23%,1.70,211.29K,0.66,0.83,3.01%,"138,860",Sep 24/b,-,11/16/1983,-,-
64,ECOR,"electroCore, Inc.",Healthcare,Medical Instruments & Supplies,USA,77.11M,-,-,-,24.10,2.53,2.98,-,-,-,-0.79,19.40%,27.10%,-,-,-,72.00%,57.10%,44.03M,31.91M,29.80%,0.00%,12.80%,-0.20%,2.00%,1.17,-80.50%,-113.50%,-189.00%,4.90,4.80,0.05,0.07,59.60%,-,-,-9.50%,5.88%,-2.99%,94.92%,19.12%,1.89%,-,0.11,6.35%,6.79%,-0.52%,0.07%,19.19%,-15.18%,15.71%,-50.91%,406.09%,47.86,2.53%,-2.47%,2.00,543.76K,0.93,1.62,0.00%,"503,247",Nov 12/a,-,6/22/2018,-,-
65,EGY,"VAALCO Energy, Inc.",Energy,Oil & Gas E&P,USA,96.01M,-,-,-,1.26,1.46,2.29,-,-,-,-0.75,-102.90%,-,48.30%,2.00%,-7.90%,301.30%,4.00%,57.46M,52.91M,5.00%,0.00%,44.50%,-4.31%,0.54%,0.42,-26.30%,-60.60%,-2.50%,1.40,1.40,0.00,0.00,58.30%,-19.80%,-56.90%,6.45%,-5.71%,65.18%,37.50%,-18.32%,-25.68%,2.50,0.12,5.39%,6.62%,18.18%,48.24%,69.26%,2.46%,132.92%,-27.88%,167.86%,70.92,12.95%,0.61%,1.00,682.16K,1.20,1.88,13.64%,"808,118",Nov 05/a,-,1/29/1993,-,-
66,ENG,ENGlobal Corporation,Industrials,Engineering & Construction,USA,50.77M,63.45,-,-,0.73,3.54,4.00,169.22,-,0.00%,0.03,74.10%,-,-17.60%,-,-12.20%,-54.50%,12.10%,27.51M,12.65M,11.10%,-3.16%,23.70%,2.80%,6.53%,0.34,2.60%,5.40%,-10.40%,2.10,2.10,0.26,0.48,14.10%,1.50%,1.20%,6.98%,67.27%,142.20%,80.39%,80.39%,87.76%,2.62,0.29,7.53%,22.44%,17.05%,70.16%,117.81%,-47.57%,199.72%,-47.57%,391.96%,64.73,7.86%,14.13%,-,2.44M,3.15,2.27,23.10%,"7,600,034",-,-,1/20/1995,-,-
67,ENTX,Entera Bio Ltd.,Healthcare,Biotechnology,Israel,19.10M,-,-,-,95.51,3.42,-,-,-,-,-0.68,1.20%,-,-,-,-,64.40%,0.00%,18.33M,10.60M,41.20%,0.00%,10.40%,-1.00%,0.30%,0.09,-85.70%,-128.00%,-93.90%,2.70,2.70,0.00,0.04,13.80%,-,-,1.92%,-0.93%,-18.46%,-45.64%,-42.39%,-50.47%,-,0.09,4.69%,9.13%,-2.19%,-1.89%,-34.10%,-28.81%,6.44%,-68.38%,7.50%,47.71,1.42%,0.00%,2.00,360.94K,0.90,1.08,1.42%,"320,648",Nov 19/b,-,6/28/2018,-,-
68,EPM,Evolution Petroleum Corporation,Energy,Oil & Gas E&P,USA,92.99M,-,-,-,3.58,1.32,4.70,-,3.76%,-,-0.12,-61.20%,-,6.50%,-,1.20%,-356.90%,-39.10%,32.96M,29.79M,8.50%,0.00%,74.30%,-0.90%,1.14%,2.76,-4.40%,-5.40%,7.90%,6.40,6.40,0.00,0.00,50.80%,-34.40%,-15.30%,-4.32%,2.31%,17.70%,2.31%,-50.00%,-51.37%,1.60,0.20,5.70%,7.21%,-4.75%,7.20%,3.59%,-14.42%,30.62%,-52.36%,30.62%,49.84,3.02%,-0.38%,2.30,122.57K,0.75,2.73,2.63%,"90,444",-,4.00,4/11/1996,-,-
69,ETTX,Entasis Therapeutics Holdings Inc.,Healthcare,Biotechnology,USA,93.47M,-,-,-,-,1.21,-,-,-,-,-3.36,-3.50%,49.00%,-,-,-,-40.00%,-,29.96M,13.57M,52.60%,31.33%,31.00%,25.87%,0.60%,0.11,-101.50%,-118.70%,-112.80%,10.00,10.00,0.00,0.00,-,-,-,22.44%,38.67%,0.80%,-14.63%,-49.29%,-49.50%,-,0.16,11.91%,7.39%,35.79%,43.44%,5.77%,-0.37%,70.25%,-52.30%,70.25%,80.31,5.91%,1.20%,1.90,761.82K,0.92,2.69,7.17%,"690,564",-,-,9/26/2018,-,-
70,EVOK,"Evoke Pharma, Inc.",Healthcare,Drug Manufacturers - Specialty & Generic,USA,82.76M,-,118.40,-,-,-,13.14,-,-,-,-0.49,29.90%,103.80%,32.00%,40.00%,-,-20.70%,-,26.15M,25.36M,2.60%,-13.97%,15.00%,12.41%,1.35%,1.42,-188.90%,-983.40%,-,1.00,1.00,-,-,-,-,-,3.50%,-5.13%,-33.18%,-15.43%,97.33%,82.72%,1.45,0.22,10.08%,7.28%,-3.26%,-18.57%,-8.67%,-42.20%,7.84%,-52.33%,265.82%,42.06,2.48%,-4.73%,2.00,239.83K,0.87,2.89,-2.36%,"207,264",-,-,9/25/2013,-,-
71,EXN,Excellon Resources Inc.,Basic Materials,Other Industrial Metals & Mining,Canada,88.51M,-,-,-,3.75,-,-,-,-,-,-,-,-,-,-,-,-,55.80%,32.07M,29.64M,16.55%,0.00%,6.41%,-,0.91%,5.39,-,-,-,-,-,-,-,-,-,-,8.24%,1.10%,-8.00%,5.42%,-26.92%,-31.51%,-,0.21,8.25%,8.40%,10.89%,8.94%,3.58%,-10.77%,32.12%,-37.63%,198.05%,58.35,5.07%,0.00%,-,50.10K,0.49,2.90,5.07%,"24,437",-,-,10/17/2003,-,-
72,EYPT,"EyePoint Pharmaceuticals, Inc.",Healthcare,Biotechnology,USA,66.94M,-,-,-,1.86,7.73,2.33,-,-,-,-3.43,-3.60%,34.30%,-35.80%,-,-5.20%,79.70%,528.00%,12.80M,10.27M,0.60%,29.38%,40.00%,-0.88%,2.04%,1.26,-53.80%,-441.00%,-,3.70,3.40,6.68,6.70,87.00%,-93.40%,-,-5.00%,5.14%,-15.68%,-42.01%,-69.40%,-70.58%,1.56,0.40,7.35%,9.72%,-0.38%,5.70%,-30.01%,-19.70%,35.29%,-77.38%,35.29%,52.90,5.09%,-0.88%,2.00,165.53K,1.26,4.75,4.17%,"205,802",Nov 05/b,-,1/27/2005,-,-
73,FARM,Farmer Bros. Co.,Consumer Defensive,Packaged Foods,USA,71.56M,-,-,-,0.16,0.67,6.51,-,-,-,-2.80,49.90%,68.80%,-24.46%,30.00%,-1.70%,-243.10%,-29.80%,17.42M,13.97M,3.20%,0.00%,91.40%,-1.20%,3.54%,4.49,-,-,-15.80%,1.70,0.80,0.67,0.00,26.10%,-,-,3.63%,-8.05%,-11.70%,-47.85%,-72.33%,-73.44%,1.56,0.22,4.51%,5.09%,-2.50%,-1.46%,-33.32%,-13.33%,22.35%,-72.85%,22.35%,48.59,4.00%,0.00%,3.00,110.07K,0.78,4.16,4.00%,"85,365",Nov 05/a,5.00,3/17/1980,-,-
74,FEDU,Four Seasons Education (Cayman) Inc.,Consumer Defensive,Education & Training Services,China,50.00M,-,-,-,1.03,0.48,0.71,-,8.33%,-,-0.47,-,-,-,-,-,-83.30%,-34.90%,46.26M,13.09M,2.73%,0.00%,6.20%,-22.53%,0.12%,0.08,-12.70%,-19.90%,-21.40%,2.00,2.00,0.00,0.00,42.80%,-54.40%,-44.20%,10.25%,24.30%,35.51%,-6.90%,-42.86%,-32.50%,-,0.08,7.22%,8.22%,7.15%,14.38%,-2.23%,-17.19%,32.25%,-46.17%,69.46%,57.67,-1.85%,0.00%,3.00,198.42K,0.19,1.06,-1.85%,"37,274",Oct 26/b,-,11/8/2017,-,-
75,FLL,"Full House Resorts, Inc.",Consumer Cyclical,Resorts & Casinos,USA,98.95M,-,9.46,-,0.78,1.89,2.91,29.10,-,-,-0.28,-28.40%,1400.00%,27.90%,15.00%,6.40%,722.80%,-5.20%,27.11M,24.41M,0.60%,-11.99%,42.90%,-0.99%,1.54%,1.39,-3.60%,-14.50%,3.70%,1.80,1.70,2.08,2.11,51.40%,2.00%,-5.90%,2.20%,22.64%,102.73%,139.35%,8.48%,10.75%,2.05,0.21,4.98%,6.65%,6.89%,19.88%,91.89%,-1.79%,91.50%,-1.79%,1135.48%,64.50,3.51%,-0.27%,2.00,270.23K,0.80,3.83,3.23%,"212,957",Nov 05/a,6.00,8/17/1993,-,-
76,FPAY,"FlexShopper, Inc.",Industrials,Rental & Leasing Services,USA,53.02M,-,6.57,-,0.55,-,7.80,-,-,-,-0.21,92.40%,384.60%,41.70%,-,77.70%,-138.20%,7.40%,21.36M,14.65M,0.10%,-,24.90%,-7.25%,0.42%,0.29,-8.00%,33.30%,23.30%,1.70,1.70,-,-,33.00%,3.70%,-4.20%,-7.31%,40.94%,40.12%,47.85%,12.62%,-4.74%,1.17,0.21,7.44%,10.65%,5.92%,24.17%,44.65%,-20.21%,59.52%,-27.17%,146.84%,55.99,-4.29%,1.66%,2.00,210.75K,1.73,2.35,-2.70%,"361,497",Nov 09/a,4.00,12/18/2007,-,-
77,FTFT,Future FinTech Group Inc.,Technology,Software - Application,China,93.22M,-,-,-,186.44,3.45,93.22,-,-,0.00%,-0.43,94.70%,-,-16.90%,15.00%,-60.50%,-266.30%,-87.20%,35.18M,18.19M,56.98%,0.00%,0.50%,59.21%,1.15%,0.38,484.20%,-,14.20%,1.50,1.50,0.00,0.09,78.40%,-,-,-7.76%,4.90%,12.04%,98.15%,370.43%,375.45%,2.42,0.32,12.99%,16.66%,-8.03%,-0.03%,25.46%,-33.43%,18.42%,-39.84%,435.71%,48.28,3.21%,1.87%,3.00,550.17K,0.58,2.25,5.14%,"315,885",-,4.00,4/15/2003,-,-
78,GASS,StealthGas Inc.,Energy,Oil & Gas Midstream,Greece,91.01M,6.51,2.40,1.28,0.64,0.15,3.30,6.64,-,0.00%,0.34,117.10%,68.41%,-30.40%,5.10%,1.80%,464.20%,1.40%,37.86M,30.03M,20.69%,0.00%,58.60%,0.51%,0.15%,0.48,1.40%,2.40%,2.40%,0.40,0.30,0.49,0.61,55.20%,17.60%,9.30%,-8.20%,-8.94%,-17.95%,-10.40%,-37.60%,-34.69%,1.70,0.14,8.46%,5.54%,3.52%,1.20%,-2.17%,-18.37%,17.65%,-34.96%,58.94%,53.22,6.67%,0.45%,1.00,94.45K,1.59,2.40,7.14%,"148,758",Nov 25/b,-,10/6/2005,-,-
79,GEN,"Genesis Healthcare, Inc.",Healthcare,Medical Care Facilities,USA,86.16M,-,-,-,0.02,-,0.36,0.43,-,-,-0.66,103.80%,-153.00%,15.10%,10.00%,-0.90%,-299.90%,-16.50%,113.15M,63.80M,0.30%,0.00%,22.80%,-7.86%,1.15%,0.61,-1.40%,8.20%,20.10%,0.90,0.90,-,-,-,0.60%,-1.50%,-6.12%,9.89%,-13.27%,-25.38%,-67.15%,-67.35%,1.66,0.04,8.43%,7.98%,10.71%,17.72%,-16.26%,-10.71%,45.79%,-68.56%,45.79%,63.72,4.36%,4.63%,3.00,1.19M,6.47,0.58,9.19%,"7,653,000",Nov 09/a,-,5/15/2007,-,-
80,GENE,Genetic Technologies Limited,Healthcare,Diagnostics & Research,Australia,44.07M,-,-,-,-,2.87,4.08,-,-,-,-0.68,-157.90%,-,29.10%,-,-,-228.60%,31.80%,13.77M,11.92M,86.50%,0.00%,1.40%,-12.66%,5.00%,0.64,-89.20%,-118.00%,-,10.90,10.80,0.02,0.04,-,-,-,-1.43%,10.61%,5.85%,57.08%,77.32%,72.86%,2.65,0.28,5.00%,8.68%,3.34%,7.76%,20.42%,-33.03%,26.69%,-65.93%,149.19%,53.31,2.91%,-0.87%,-,924.87K,0.56,3.51,2.02%,"513,340",-,-,7/27/2005,-,-
81,GLMD,Galmed Pharmaceuticals Ltd.,Healthcare,Biotechnology,Israel,76.36M,-,-,-,-,1.46,1.31,-,-,-,-1.27,-78.30%,-16.30%,-1.90%,20.00%,-,-51.90%,-,21.27M,17.62M,17.32%,0.00%,32.60%,-10.46%,0.21%,0.36,-39.30%,-43.30%,-,9.80,9.80,0.00,0.00,-,-,-,-6.12%,-3.41%,-3.16%,-28.13%,-36.00%,-36.33%,2.34,0.31,11.57%,8.74%,3.73%,10.13%,-9.13%,-11.57%,29.05%,-46.87%,29.05%,55.42,3.80%,0.00%,1.80,101.65K,1.20,3.82,3.80%,"120,803",Nov 12/b,-,3/13/2014,-,-
82,GNLN,"Greenlane Holdings, Inc.",Healthcare,Pharmaceutical Retailers,USA,56.84M,-,-,-,0.41,3.06,1.42,-,-,-,-0.45,-388.60%,84.10%,-,-,-,-414.50%,-20.30%,12.80M,12.55M,0.70%,-81.97%,36.20%,3.78%,5.82%,2.15,-10.30%,-67.80%,-113.80%,2.70,1.70,0.50,0.52,16.60%,-34.50%,-10.00%,8.09%,59.78%,121.61%,24.93%,63.94%,35.48%,-,0.41,11.37%,11.58%,3.67%,25.94%,45.26%,-14.26%,77.18%,-14.26%,319.29%,56.84,-4.47%,1.36%,1.60,340.35K,0.83,4.27,-3.17%,"278,696",Nov 12/b,5.40,4/18/2019,-,-
83,GROW,"U.S. Global Investors, Inc.",Financial,Asset Management,USA,74.49M,75.63,-,-,10.80,3.93,8.37,744.88,0.62%,63.00%,0.06,-35.90%,-,-3.20%,-,-10.70%,156.10%,300.00%,15.08M,12.41M,2.70%,0.00%,39.60%,25.88%,0.07%,0.09,4.40%,4.90%,-13.70%,5.40,5.40,0.00,0.02,-,-13.70%,12.00%,11.01%,49.38%,95.16%,129.38%,281.10%,236.11%,2.87,0.27,5.53%,7.11%,11.74%,38.94%,84.42%,-5.78%,100.69%,-5.78%,491.25%,68.43,-4.25%,2.07%,-,100.84K,0.64,4.73,-2.27%,"63,422",Sep 11/b,-,4/24/1985,-,-
84,GSUM,Gridsum Holding Inc.,Technology,Software - Application,China,56.90M,-,-,-,1.14,-,35.56,-,-,-,-1.93,5.90%,-,-43.40%,-,21.30%,-3.10%,120.40%,34.62M,21.24M,15.38%,0.00%,24.50%,-1.14%,0.56%,0.30,-57.00%,136.00%,-762.80%,0.30,0.30,-,-,74.30%,-,-,-3.01%,-7.20%,46.36%,119.32%,5.23%,31.97%,1.49,0.04,1.86%,2.19%,-3.12%,-5.86%,52.89%,-10.19%,1.87%,-13.30%,587.76%,37.88,1.24%,0.00%,-,390.63K,0.20,1.63,1.24%,"78,880",-,-,9/23/2016,-,-
85,GVP,"GSE Systems, Inc.",Technology,Software - Application,USA,29.50M,-,23.33,-,0.47,2.50,3.83,4.92,-,-,-0.77,-34.30%,112.80%,-8.00%,-,17.20%,47.40%,-35.50%,20.56M,16.26M,5.50%,19.00%,52.90%,-1.92%,0.24%,0.20,-30.80%,-109.30%,-34.10%,1.10,1.10,0.84,1.19,25.70%,-16.50%,-25.20%,2.19%,34.62%,40.00%,35.92%,-6.35%,-15.15%,1.65,0.10,4.99%,9.70%,14.54%,27.72%,36.16%,-17.06%,44.97%,-27.32%,63.95%,66.52,2.17%,-1.43%,2.00,192.35K,0.73,1.41,0.71%,"139,464",Nov 16/a,1.50,7/27/1995,-,-
86,HALL,"Hallmark Financial Services, Inc.",Financial,Insurance - Property & Casualty,USA,60.39M,-,14.76,-,0.12,0.34,0.32,-,-,-,-6.60,-106.10%,200.00%,-15.40%,4.10%,7.60%,-634.10%,4.10%,18.14M,16.86M,7.06%,0.00%,52.80%,-18.58%,0.94%,0.86,-8.20%,-57.60%,1.30%,-,-,0.60,0.60,-,-28.60%,-24.60%,-2.06%,1.22%,25.76%,7.79%,-80.81%,-81.10%,1.47,0.18,3.77%,4.81%,-0.57%,6.11%,1.75%,-13.70%,27.97%,-82.37%,46.49%,52.55,-0.30%,0.90%,2.50,185.55K,0.34,3.34,0.60%,"62,679",-,5.50,9/18/1989,-,-
87,HBP,"Huttig Building Products, Inc.",Industrials,Industrial Distribution,USA,98.41M,-,-,-,0.12,2.18,123.02,1.96,-,-,-0.42,-250.80%,-,-40.10%,14.00%,5.40%,272.50%,-1.40%,26.00M,19.12M,20.75%,0.00%,41.40%,-8.11%,2.03%,0.88,-3.60%,-27.20%,-8.20%,2.00,0.90,2.34,2.38,20.00%,-0.80%,-1.30%,0.99%,-3.24%,68.87%,193.44%,115.66%,132.47%,2.56,0.13,3.18%,3.53%,-1.79%,1.93%,79.55%,-6.49%,53.19%,-6.49%,630.22%,51.54,0.28%,0.28%,-,443.12K,0.05,3.60,0.56%,"20,846",Oct 29/a,-,12/8/1999,-,-
88,HNRG,Hallador Energy Company,Energy,Thermal Coal,USA,30.48M,-,4.39,-,0.12,0.16,5.75,1.09,-,-,-1.99,-888.00%,1250.00%,-50.40%,-,5.90%,151.80%,-21.70%,30.47M,22.86M,12.58%,0.00%,32.70%,-8.93%,1.00%,0.94,-1.20%,-2.70%,-12.00%,1.10,0.40,0.60,0.79,25.60%,1.50%,-2.00%,-8.18%,22.42%,64.23%,46.38%,-64.18%,-65.99%,0.69,0.07,4.79%,8.66%,-2.90%,11.95%,26.68%,-14.29%,45.71%,-66.94%,70.00%,51.67,2.00%,-0.99%,-,243.31K,0.51,1.02,0.99%,"122,620",Nov 02/a,-,1/20/1997,-,-
89,HOFV,Hall of Fame Resort & Entertainment Company,Communication Services,Entertainment,USA,75.26M,-,-,-,14.20,0.29,9.53,-,-,-,-2.11,-103.70%,-,-,-,-,-748.20%,-22.90%,32.58M,14.90M,38.70%,1.51%,1.50%,78.76%,0.86%,0.04,-44.50%,-64.30%,-,-,-,0.00,0.72,-,-,-,-2.92%,-1.48%,-48.05%,-83.63%,-81.72%,-82.15%,-,0.15,4.42%,6.43%,-4.85%,-25.59%,-74.18%,-79.61%,20.64%,-89.32%,20.64%,40.16,1.15%,-2.26%,-,3.50M,0.29,1.32,-1.13%,"998,059",-,-,3/12/2018,-,-
90,HSDT,"Helius Medical Technologies, Inc.",Healthcare,Medical Devices,USA,21.16M,-,-,-,35.27,2.36,3.99,-,-,-,-0.51,70.50%,-,15.50%,-,-,-,-80.00%,40.62M,35.81M,0.40%,0.00%,8.80%,6.90%,2.48%,5.59,-157.10%,-241.60%,-413.70%,3.30,3.00,0.00,0.00,20.50%,-,-,-6.94%,-0.53%,-6.64%,-10.41%,-38.99%,-61.03%,0.74,0.03,8.72%,7.58%,-3.88%,-4.53%,-10.74%,-20.39%,8.36%,-73.82%,56.67%,46.30,2.36%,0.82%,-,158.99K,7.00,0.39,3.20%,"1,102,737",Nov 12/a,-,6/27/2014,-,-
91,HUGE,FSD Pharma Inc.,Healthcare,Drug Manufacturers - Specialty & Generic,Canada,32.19M,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,19.16M,16.09M,12.70%,0.00%,0.73%,-,0.38%,0.07,-,-,-,-,-,-,-,-,-,-,-5.08%,22.63%,-36.60%,-57.79%,-66.93%,-69.05%,-,0.17,10.46%,11.43%,-2.99%,-0.23%,-41.59%,-37.86%,33.51%,-87.79%,33.51%,48.53,0.52%,1.19%,-,827.46K,0.31,1.71,1.72%,"252,919",-,-,6/8/2018,-,-
92,ICON,"Iconix Brand Group, Inc.",Consumer Cyclical,Apparel Manufacturing,USA,15.48M,-,-,-,0.13,-,0.22,0.46,-,-,-9.93,36.20%,-,-20.90%,15.00%,-17.60%,147.80%,-31.00%,13.17M,12.75M,4.24%,0.00%,15.60%,34.64%,0.85%,0.08,-18.90%,29.90%,-10.70%,1.30,1.30,-,-,-,4.70%,-74.80%,-0.87%,44.30%,72.21%,14.00%,0.88%,-15.56%,2.33,0.10,6.17%,11.59%,6.67%,31.61%,30.29%,-17.58%,85.27%,-41.62%,121.00%,59.17,0.08%,-1.75%,2.00,1.36M,0.20,1.12,-1.68%,"269,504",-,-,1/22/1990,-,-
93,IFMK,iFresh Inc.,Consumer Defensive,Grocery Stores,USA,21.80M,-,-,-,0.24,2.85,2.79,-,-,-,-0.18,42.80%,-,-64.50%,-,-6.90%,-140.70%,10.50%,27.52M,10.33M,15.00%,0.00%,0.80%,-32.02%,5.45%,2.00,-3.20%,-211.50%,-62.50%,0.60,0.40,0.26,2.87,20.30%,-6.90%,-4.10%,3.60%,-7.16%,6.77%,-29.42%,109.89%,96.60%,-3.11,0.07,8.28%,8.07%,-4.06%,-2.89%,-22.33%,-22.77%,11.43%,-72.44%,126.09%,46.32,-0.74%,-1.48%,-,281.95K,0.67,0.78,-2.21%,"185,685",Nov 24/b,-,2/13/2017,-,-
94,IGC,"India Globalization Capital, Inc.",Industrials,Conglomerates,USA,71.68M,-,-,-,55.14,3.12,14.06,-,-,-,-0.21,-60.00%,-,9.90%,-,-11.90%,-34.80%,-94.40%,41.24M,37.28M,8.30%,-3.74%,5.00%,9.82%,4.53%,0.49,-28.90%,-31.70%,-28.70%,7.20,3.70,0.02,0.03,9.00%,-,-,1.42%,39.06%,58.93%,220.55%,186.45%,182.54%,5.20,0.19,7.72%,14.49%,1.14%,23.28%,93.38%,-31.02%,66.82%,-59.22%,597.72%,55.82,1.94%,1.12%,-,3.43M,1.26,1.84,3.09%,"4,268,903",-,-,4/13/2006,-,-
95,IMBI,"iMedia Brands, Inc.",Consumer Cyclical,Internet Retail,USA,60.65M,-,-,-,0.13,1.72,3.19,303.27,-,-,-3.41,-125.00%,9.40%,-44.99%,30.00%,-5.70%,56.20%,-5.40%,12.18M,10.10M,2.40%,256.20%,17.70%,109.00%,0.34%,0.54,-13.40%,-146.20%,-59.80%,1.20,0.70,1.72,1.82,35.30%,-5.30%,-6.40%,-17.54%,-42.07%,-30.20%,23.94%,5.41%,2.51%,2.75,0.43,8.45%,7.31%,-18.41%,-23.86%,-0.17%,-44.92%,8.91%,-51.69%,217.04%,33.88,4.39%,0.24%,2.00,63.84K,0.60,4.28,4.65%,"37,764",Nov 24/b,-,6/28/1991,-,-
96,IMH,"Impac Mortgage Holdings, Inc.",Financial,Mortgage Finance,USA,61.77M,-,4.18,-,26.86,3.36,1.12,0.07,-,-,-4.08,94.60%,125.70%,11.10%,4.00%,15.50%,11.20%,-24.40%,21.26M,11.48M,16.10%,23.96%,21.20%,-1.69%,0.84%,0.62,-3.10%,-201.70%,-0.70%,-,-,3.94,139.58,-,-,-,6.67%,82.55%,126.67%,56.32%,-47.69%,-48.29%,0.79,0.26,13.39%,12.08%,16.51%,53.76%,59.03%,-8.26%,124.62%,-62.84%,165.21%,64.15,7.25%,0.00%,-,155.11K,1.53,2.92,7.25%,"234,747",Nov 05/a,-,11/21/1995,-,-
97,INPX,Inpixon,Technology,Software - Application,USA,52.22M,-,-,-,7.15,1.07,1.66,-,-,-,-9.69,-,-,-,20.00%,-36.90%,98.60%,73.30%,50.18M,42.45M,0.09%,0.00%,1.80%,43.87%,9.61%,1.48,-100.20%,-161.20%,-152.10%,2.90,2.90,0.00,0.16,73.30%,-,-,-3.77%,-8.93%,-0.97%,-35.44%,-68.34%,-79.20%,2.17,0.06,4.46%,5.63%,-3.18%,-1.76%,-15.76%,-23.21%,10.51%,-96.46%,12.60%,46.69,1.64%,0.00%,-,2.76M,1.08,1.04,1.64%,"2,947,583",Nov 12/a,-,9/19/2003,-,-
98,INUV,"Inuvo, Inc.",Communication Services,Advertising Agencies,USA,39.84M,-,-,-,0.80,1.44,4.19,-,-,-,-0.12,41.60%,54.50%,-26.60%,30.00%,4.40%,-269.10%,-33.30%,92.11M,87.63M,10.50%,0.00%,31.20%,34.50%,3.68%,1.20,-24.00%,-43.80%,-44.90%,2.00,2.00,0.05,0.06,76.90%,-21.80%,-14.90%,-1.80%,12.11%,11.15%,-28.31%,44.76%,36.49%,1.31,0.03,4.97%,6.86%,27.95%,32.41%,22.63%,12.44%,48.82%,-54.41%,446.44%,73.26,24.32%,0.84%,2.30,2.67M,6.59,0.51,25.37%,"17,452,445",Nov 09/a,-,12/30/1994,-,-
99,IO,ION Geophysical Corporation,Energy,Oil & Gas Equipment & Services,USA,35.98M,-,-,-,0.26,-,0.70,1.38,-,-,-2.71,34.40%,17.50%,21.90%,18.00%,-19.30%,-343.00%,-69.50%,14.28M,10.74M,2.50%,0.00%,35.80%,-7.04%,10.18%,2.46,-16.30%,83.90%,-38.40%,0.70,0.60,-,-,36.00%,-14.60%,-27.90%,-11.33%,35.12%,56.55%,-5.81%,-74.67%,-73.85%,4.13,0.19,7.87%,9.40%,10.31%,35.26%,23.65%,-7.40%,83.83%,-72.62%,121.25%,60.24,10.14%,0.00%,2.70,444.00K,1.18,2.50,10.14%,"516,839",Nov 04/a,4.00,4/2/1991,-,-
