"No.","Ticker","Performance (Week)","Performance (Month)","Performance (Quarter)","Performance (Half Year)","Performance (Year)","Performance (YTD)","Volatility (Week)","Volatility (Month)","Analyst Recom","Average Volume","Relative Volume","Price","Change","Volume"
185,"BIOC",-7.65%,11.49%,7.61%,-28.44%,98.00%,73.08%,5.16%,7.35%,2.00,639.09,0.79,4.77,-3.64%,504642
186,"BKEP",25.14%,36.02%,53.15%,52.08%,88.79%,93.81%,5.95%,4.80%,3.00,231.97,2.22,2.11,-3.65%,514042
187,"SOHO",-1.44%,28.17%,45.21%,-7.77%,-58.45%,-59.73%,5.22%,8.39%,2.00,254.20,0.78,2.63,-3.66%,198036
188,"HNRG",-3.67%,21.37%,58.61%,38.69%,-60.38%,-64.65%,3.96%,8.60%,,243.12,0.73,1.01,-3.81%,178270
189,"DOGZ",12.43%,-16.74%,89.52%,30.42%,32.67%,49.62%,7.46%,10.36%,,797.00,0.09,1.91,-4.02%,72223
190,"FTFT",-2.19%,7.21%,15.54%,85.83%,374.47%,395.45%,15.71%,16.63%,3.00,543.67,0.97,2.14,-4.04%,527032
191,"AEMD",35.15%,51.70%,70.23%,9.85%,-15.21%,131.57%,17.71%,10.45%,2.00,2094.71,0.19,2.14,-4.04%,394685
192,"AMPY",18.49%,58.43%,76.21%,-6.62%,-80.08%,-78.67%,13.96%,12.26%,2.50,1061.57,0.68,1.35,-4.26%,725564
193,"CWBR",5.30%,26.36%,36.27%,-41.60%,-17.26%,-13.13%,9.40%,7.93%,2.00,500.23,0.82,1.33,-4.32%,409925
194,"SEAC",-6.61%,-10.27%,-13.33%,-47.76%,-79.77%,-80.30%,9.44%,11.58%,2.50,315.88,1.00,0.79,-4.37%,316085
195,"PZG",2.80%,5.77%,-8.33%,0.92%,52.78%,42.23%,3.85%,4.95%,1.50,122.59,0.64,1.05,-4.55%,78279
196,"CCNC",2.56%,-8.05%,46.79%,-17.10%,68.42%,33.33%,15.47%,10.03%,,738.61,0.13,1.52,-5.00%,94965
197,"NNA",-5.90%,-23.87%,-22.57%,-20.25%,-59.62%,-62.47%,5.04%,5.88%,3.00,169.87,1.28,3.03,-5.02%,216830
198,"CYRN",7.48%,12.75%,23.64%,0.00%,-12.17%,-10.16%,25.23%,12.55%,2.00,232.96,4.71,1.09,-5.22%,1096610
199,"PHX",9.62%,31.03%,34.12%,-22.45%,-79.16%,-79.66%,9.54%,10.47%,1.00,200.03,1.06,2.16,-5.26%,212607
200,"NVCN",18.30%,3.18%,-58.92%,-62.64%,-74.21%,-83.98%,13.84%,8.20%,1.00,1404.74,0.72,0.82,-5.39%,1012416
201,"EXN",16.33%,6.18%,-10.98%,2.39%,-17.87%,-27.54%,7.89%,8.28%,,50.02,0.51,2.76,-5.48%,25279
202,"VOC",8.30%,31.82%,85.11%,6.84%,-43.26%,-43.63%,9.42%,6.53%,,251.02,0.29,2.47,-5.52%,73771
203,"DARE",20.87%,5.30%,37.62%,36.27%,65.59%,69.51%,8.93%,9.63%,2.00,954.69,1.04,1.31,-5.76%,997564
204,"IO",2.11%,30.81%,61.33%,-6.92%,-72.41%,-72.12%,7.92%,9.47%,2.70,437.82,1.06,2.27,-6.20%,461939
205,"RETO",4.70%,16.86%,29.98%,-45.51%,-27.43%,-23.66%,6.20%,9.83%,,879.89,0.79,0.62,-7.04%,695990
206,"MRKR",-1.87%,5.37%,-7.65%,-24.88%,-47.14%,-45.49%,11.53%,7.87%,1.50,267.67,1.30,1.45,-7.64%,348551
207,"USWS",-4.33%,23.57%,68.82%,-16.20%,-64.95%,-75.70%,9.21%,11.35%,3.00,1948.27,0.70,0.42,-8.54%,1365001
208,"TGC",12.11%,16.82%,54.32%,101.61%,149.50%,155.05%,10.53%,12.86%,,1399.45,0.18,1.14,-8.80%,250210
209,"RAVE",7.37%,20.00%,110.31%,7.49%,-40.00%,-38.18%,10.41%,12.74%,,2304.54,0.57,0.93,-8.81%,1312607
210,"DTEA",76.92%,128.37%,212.62%,222.00%,90.53%,120.55%,19.27%,14.63%,,526.75,1.72,2.82,-12.42%,906551
211,"ITP",0.03%,6.52%,36.75%,22.20%,-28.38%,-29.14%,6.43%,9.19%,,2240.73,0.86,0.58,-13.06%,1928869
